DESCRIPTION,SENSOR_NUMBER,LATITUDE,LONGITUDE,ALTITUDE,TASKS_PER_SEC,EARTH_LIMB_EXCLUSION,SOLAR_EXCLUSION_ANGLE,LUNAR_EXCLUSION_ANGLE,TWILIGHT_ANGLE,AZIMUTH_LEFT_1,AZIMUTH_RIGHT_1,AZIMUTH_LEFT_2,AZIMUTH_RIGHT_2,ELEVATION_LOW_1,ELEVATION_HIGH_1,ELEVATION_LOW_2,ELEVATION_HIGH_2,MAX_RANGE,MIN_RANGE,OPTICAL_FLAG,OPTICAL_TYPE,AZBIAS,AZSIGMA,ELBIAS,ELSIGMA,RANGEBIAS,RANGESIGMA,RANGERATEBIAS,RANGERATESIGMA,DECBIAS,DECSIGMA,RABIAS,RASIGMA,OBSERVATION_TYPE,Unnamed: 35,TASKABLE,TASK_DURATION,TASK_COOLDOWN_LAMBDA,OBS_PER_TASK,CLASSIFICATION,FREQUENCY,MIN_SNR,ANTENNA_GAIN,POWER,PULSE_WIDTH,PULSES,HPBW
SENSOR_101,101,39.0,-104.7893919,-6372.090887,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,True,,,,U,,,,,,,
SENSOR_102,102,48.2,-114.3999831,0.997588987,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,True,,,,U,,,,,,,
SENSOR_111,111,50.51175,-0.150862532,0.032850617,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,True,,,,U,,,,,,,
SENSOR_200,200,33.81722,-106.6594457,1.536877123,,0,75,0,6.25,0.0,360,0,0,20.0,90,0,0,90000,0,2,4,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_201,201,33.82167,-106.656655,1.53724401,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_202,202,33.82167,-106.656655,1.53724401,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_203,203,33.82167,-106.656655,1.53724401,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_204,204,33.82167,-106.656655,1.53724401,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_206,206,33.81806,-106.659471,1.505811094,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_207,207,33.81839,-106.6590767,1.501600798,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_210,210,33.81736,-106.659823,1.507420236,,0,0,0,6.25,0.0,360,0,0,0.0,90,0,0,50000,0,1,3,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_211,211,33.81724,-106.6602947,1.507872885,,0,75,0,6.25,0.0,360,0,0,20.0,90,0,0,90000,0,2,4,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_212,212,33.81724,-106.659823,1.507420236,,0,75,0,6.25,0.0,360,0,0,20.0,90,0,0,90000,0,2,4,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_213,213,33.81702,-106.659879,1.50742781,,0,75,0,6.25,0.0,360,0,0,20.0,90,0,0,90000,0,2,4,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_214,214,33.81723,-106.6602947,1.50731634,,0,0,0,6.25,0.0,360,0,0,0.0,90,0,0,50000,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_215,215,33.81723,-106.6602947,1.50731634,,0,0,0,6.25,0.0,360,0,0,0.0,90,0,0,50000,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_220,220,35.74106,128.6106471,0.752825914,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_221,221,35.74106,128.610238,0.752725037,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_222,222,35.74106,128.6107179,0.752821458,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_223,223,35.74084,128.610649,0.752678617,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_230,230,20.71126,-156.2602788,3.038286205,,0,0,0,6.25,0.0,360,0,0,0.0,90,0,0,50000,0,1,3,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_231,231,20.70801,-156.2579383,3.055664046,,0,75,0,6.25,0.0,360,0,0,20.0,90,0,0,90000,0,2,4,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_232,232,20.70801,-156.2576333,3.055454785,,0,75,0,6.25,0.0,360,0,0,20.0,90,0,0,90000,0,2,4,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_233,233,20.70849,-156.2576077,3.055840133,,0,75,0,6.25,0.0,360,0,0,20.0,90,0,0,90000,0,2,4,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_234,234,20.70801,-156.2579383,3.055664046,,0,0,0,6.25,0.0,360,0,0,0.0,90,0,0,50000,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_235,235,20.70806,-156.2580552,3.055127869,,0,75,0,6.25,0.0,360,0,0,20.0,90,0,0,90000,0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_240,240,-7.41159,72.45247189,0.131688511,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_241,241,-7.41164,72.45190929,-0.063084428,,0,75,0,6.25,0.0,360,0,0,20.0,90,0,0,90000,0,2,4,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_242,242,-7.41164,72.45230754,-0.063350261,,0,75,0,6.25,0.0,360,0,0,20.0,90,0,0,90000,0,2,4,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_243,243,-7.41187,72.4522507,-0.063357876,,0,75,0,6.25,0.0,360,0,0,20.0,90,0,0,90000,0,2,4,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_245,245,-7.41167,72.45194384,-0.064022381,,0,75,0,6.25,0.0,360,0,0,20.0,90,0,0,90000,0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_260,260,37.15167,-5.58833895,0.14299694,,0,75,0,6.25,0.0,360,0,0,20.0,90,0,0,90000,0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,True,10,20.0,5.0,U,,,,,,,
SENSOR_311,311,8.723346255,167.7186839,0.0,,0,30,15,6.25,285.0,75,105,255,70.0,90,70,90,20000,100,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,,False,180,,20.0,U,,,,,,,
SENSOR_315,315,37.9029,40.000708,0.922007711,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,True,,,,U,,,,,,,
SENSOR_316,316,52.73849,174.1023125,0.087260278,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,False,180,,20.0,U,,,,,,,
SENSOR_318,318,52.73849,174.1023125,0.087260278,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,False,180,,20.0,U,,,,,,,
SENSOR_328,328,76.5638,-68.31087197,0.409925868,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,True, ,,20.0,U,,,,,,,
SENSOR_329,329,64.29361,-149.1960965,0.599091604,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,False,180,,20.0,U,,,,,,,
SENSOR_330,330,54.3688,-0.66854497,0.296726293,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,False,180,,20.0,U,,,,,,,
SENSOR_331,331,15.24911,145.7960584,0.345165668,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,0,3,0.0,0.012,0.0,0.009,0.0,0.03,0.0,0.0025,0.0,0.009,0.0,0.012,3,,True,,,,U,,,,,,,
SENSOR_333,333,9.39856,167.482695,0.039852062,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,True,,,20.0,U,,,,,,,
SENSOR_334,334,9.40361,167.4825015,0.063573222,,0,0,0,6.25,0.0,360,0,0,2.0,90,0,0,90000,0,0,3,0.003,0.027,0.007,0.057,0.003,0.175,0.001,0.0034,0.007,0.057,0.003,0.027,3,,True,,,20.0,U,440000000.0,13.0,45.0,4500000.0,1.0,1.0,1.1
SENSOR_335,335,9.40703,167.4819898,0.053854877,,0,0,0,6.25,0.0,360,0,0,0.0,90,0,0,4000,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,True,,,20.0,U,,,,,,,
SENSOR_337,337,37.90521,39.9931907,0.887784268,,0,0,0,6.25,0.0,360,0,0,0.0,90,0,0,9260,0,0,3,-0.005,0.024,0.011,0.024,-0.005,0.109,-0.0003,0.0049,0.011,0.024,-0.005,0.024,3,,True,,,20.0,U,,,,,,,
SENSOR_340,340,10.73857,-61.60845275,0.235618108,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,True,60,60.0,1.0,U,,,,,,,
SENSOR_341,341,54.3682,-0.668560354,0.297545874,,0,0,0,6.25,0.0,360,0,0,2.5,70,0,0,4818,0,0,3,-0.003,0.047,0.006,0.027,-0.497,0.867,-0.0042,0.0019,0.006,0.027,-0.003,0.047,3,,False,180,0.0,20.0,U,,,,,,,
SENSOR_342,342,54.3651,-0.666810658,0.299055064,,0,0,0,6.25,0.0,360,0,0,2.5,70,0,0,4818,0,0,3,-0.005,0.048,-0.016,0.032,-0.122,1.409,-0.0035,0.0022,-0.016,0.032,-0.005,0.048,3,,False,180,0.0,20.0,U,,,,,,,
SENSOR_343,343,54.36531,-0.665605042,0.295752521,,0,0,0,6.25,0.0,360,0,0,2.5,70,0,0,4818,0,0,3,-0.018,0.037,-0.011,0.023,1.357,1.044,-0.0004,0.0019,-0.011,0.023,-0.018,0.037,3,,False,180,0.0,20.0,U,,,,,,,
SENSOR_344,344,54.36167,-0.669995768,0.324772624,,0,0,0,6.25,307.0,360,0,67,3.0,85,3,85,5556,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,,False,180,0.0,20.0,U,,,,,,,
SENSOR_345,345,54.36179,-0.670074834,0.324316874,,0,0,0,6.25,187.0,307,0,0,3.0,85,0,0,5556,0,0,2,0.001,0.022,0.001,0.025,0.001,0.15,0.001,0.005,0.001,0.025,0.001,0.022,4,,False,180,0.0,20.0,U,,,,,,,
SENSOR_346,346,54.36179,-0.670074834,0.324316874,,0,0,0,6.25,67.0,187,0,0,3.0,85,0,0,5556,0,0,2,0.002,0.016,-0.003,0.015,0.022,0.127,-0.0003,0.0017,-0.003,0.015,0.002,0.016,4,,False,180,0.0,20.0,U,,,,,,,
SENSOR_348,348,76.5699,-68.30235207,-0.00201254,,0,0,0,6.25,0.0,360,0,0,2.0,90,0,0,5188,0,0,3,-0.007,0.071,0.012,0.061,0.853,1.105,0.0036,0.0024,0.012,0.061,-0.007,0.071,3,,False,180,0.0,20.0,U,,,,,,,
SENSOR_349,349,64.29332,-149.1929859,0.210925549,,0,0,0,6.25,0.0,360,0,0,2.0,90,0,0,4911,0,0,3,-0.012,0.054,-0.012,0.056,0.21,1.693,-0.0008,0.0019,-0.012,0.056,-0.012,0.054,3,,False,180,0.0,20.0,U,,,,,,,
SENSOR_354,354,-7.90667,-14.40250226,0.057335861,,0,0,0,6.25,0.0,360,0,0,0.0,90,0,0,3000,0,0,3,-0.002,0.018,-0.002,0.015,0.001,0.119,-0.0002,0.0067,-0.002,0.015,-0.002,0.018,4,,True,30,90.0,40.0,U,,,,,,,
SENSOR_355,355,-7.97363,-14.40137017,0.140454354,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,0,3,0.002,0.022,-0.004,0.018,0.013,0.168,0.0006,0.0225,-0.004,0.018,0.002,0.022,3,,True,30,90.0,40.0,U,,,,,,,
SENSOR_359,359,64.2934,-149.1931739,0.210878478,,0,0,0,6.25,0.0,360,0,0,5.0,90,0,0,5552,0,0,3,0.0,0.06,-0.01,0.052,0.082,0.132,-0.0008,0.0026,-0.01,0.052,0.0,0.06,3,,False,180,,,U,,,,,,,
SENSOR_360,360,28.42466,-80.66453217,0.018325421,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,0,3,0.0,0.02,-0.01,0.015,0.082,0.165,-0.0008,0.0125,-0.01,0.015,0.0,0.02,3,,True,,,,U,,,,,,,
SENSOR_361,361,28.22636,-80.5994305,0.022303477,,0,0,0,6.25,0.0,360,0,0,0.0,90,0,0,4000,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,True,30,90.0,40.0,U,,,,,,,
SENSOR_362,362,21.46258,-71.13218705,0.044231121,,0,0,0,6.25,0.0,360,0,0,0.0,90,0,0,4000,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,True,,,,U,,,,,,,
SENSOR_363,363,17.1446,-61.79265496,-0.002131807,,0,0,0,6.25,0.1,360,0,0,0.1,90,0,0,4092,0,0,3,-0.013,0.02,-0.001,0.015,0.042,0.165,0.0001,0.0125,-0.001,0.015,-0.013,0.02,3,,True,,,,U,,,,,,,
SENSOR_364,364,-7.97275,-14.4014985,0.16996253,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,True,30,90.0,40.0,U,,,,,,,
SENSOR_365,365,26.61556,-78.34795199,0.022120112,,0,0,0,6.25,0.0,360,0,0,0.0,90,0,0,4000,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,True,,,,U,,,,,,,
SENSOR_366,366,52.1345,-2.332592849,0.037422759,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,True,,,,U,,,,,,,
SENSOR_369,369,42.6175,-71.49083374,0.124966013,,0,0,0,6.25,0.0,360,0,0,1.0,90,0,0,90000,0,0,3,-0.013,0.007,-0.001,0.007,0.042,0.01,0.0001,0.0001,-0.001,0.007,-0.013,0.007,3,,True,30,90.0,40.0,U,1300000000.0,13.0,50.0,3000000.0,1.0,1.0,0.6
SENSOR_370,370,42.61955,-71.49139387,0.110434229,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,True,30,90.0,40.0,U,,,,,,,
SENSOR_375,375,70.36722,31.12804421,0.094738938,,0,0,0,6.25,0.0,360,0,0,1.0,90,0,0,45000,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,True,30,90.0,40.0,U,10000000000.0,13.0,70.0,200000.0,1.0,1.0,0.06
SENSOR_382,382,64.30028,-149.1897185,0.192523905,,0,0,0,6.25,184.0,304,0,0,3.0,85,0,0,5556,0,0,2,-0.01,0.031,0.01,0.027,0.06,0.124,0.0004,0.0021,0.01,0.027,-0.01,0.031,4,,False,180,0.0,20.0,U,,,,,,,
SENSOR_383,383,64.3002,-149.1896932,0.192264891,,0,0,0,6.25,304.0,64,0,0,3.0,85,0,0,5556,0,0,2,0.008,0.027,-0.014,0.025,-0.048,0.103,-0.0001,0.0019,-0.014,0.025,0.008,0.027,4,,False,180,0.0,20.0,U,,,,,,,
SENSOR_384,384,32.5812,-83.56936915,0.083496749,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,0,3,-0.012,0.034,0.003,0.024,0.09,0.111,0.0002,0.0022,0.003,0.024,-0.012,0.034,3,,False,180,0.0,20.0,U,,,,,,,
SENSOR_385,385,32.5812,-83.56935857,0.083591123,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,0,3,-0.014,0.029,0.004,0.029,-0.01,0.136,0.0004,0.0022,0.004,0.029,-0.014,0.029,3,,False,180,0.0,20.0,U,,,,,,,
SENSOR_386,386,41.7525,-70.53805772,0.04775799,,0,0,0,6.25,347.0,107,0,0,3.0,85,0,0,5556,0,0,2,-0.06,0.03,-0.038,0.03,0.05,0.121,0.0001,0.0016,-0.038,0.03,-0.06,0.03,4,,False,180,0.0,20.0,U,,,,,,,
SENSOR_387,387,41.75245,-70.53812309,0.048283015,,0,0,0,6.25,107.0,227,0,0,3.0,85,0,0,5556,0,0,2,0.026,0.026,0.009,0.023,0.03,0.132,0.0003,0.0016,0.009,0.023,0.026,0.026,4,,False,180,0.0,20.0,U,,,,,,,
SENSOR_388,388,39.13611,-121.3508264,0.099897915,,0,0,0,6.25,126.0,246,0,0,3.0,85,0,0,5556,0,0,2,-0.037,0.029,0.025,0.026,-0.023,0.167,0.0001,0.0019,0.025,0.026,-0.037,0.029,4,,False,180,0.0,20.0,U,,,,,,,
SENSOR_389,389,39.13607,-121.3507152,0.09981638,,0,0,0,6.25,246.0,6,0,0,3.0,85,0,0,5556,0,0,2,0.011,0.031,0.045,0.028,-0.066,0.15,0.0004,0.0018,0.045,0.028,0.011,0.031,4,,False,180,0.0,20.0,U,,,,,,,
SENSOR_392,392,52.73726,174.0909294,0.088799143,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,False,180,0.0,20.0,U,,,,,,,
SENSOR_393,393,52.73722,174.0908324,0.090052761,,0,0,0,6.25,259.0,19,0,0,0.0,80,0,0,4500,0,0,2,-0.005,0.019,0.003,0.013,-0.014,0.137,-0.0001,0.0015,0.003,0.013,-0.005,0.019,4,,False,180,0.0,20.0,U,,,,,,,
SENSOR_394,394,76.57028,-68.29916938,0.422799315,,0,0,0,6.25,57.0,177,0,0,3.0,85,0,0,5556,0,0,2,-0.008,0.033,-0.021,0.033,0.052,0.147,-0.0004,0.0011,-0.021,0.033,-0.008,0.033,4,,False,180,0.0,20.0,U,,,,,,,
SENSOR_395,395,76.57035,-68.29922677,0.422411768,,0,0,0,6.25,297.0,57,0,0,3.0,85,0,0,5556,0,0,2,0.012,0.028,0.006,0.029,0.02,0.144,-0.0004,0.0009,0.006,0.029,0.012,0.028,4,,False,180,0.0,20.0,U,,,,,,,
SENSOR_396,396,48.72472,-97.89972395,0.342091031,,0,0,0,6.25,298.0,78,118,258,0.0,90,85,90,3300,0,0,2,-0.005,0.01,-0.013,0.008,-0.001,0.139,0.0003,0.0012,-0.013,0.008,-0.005,0.01,4,,False,180,0.0,20.0,U,,,,,,,
SENSOR_398,398,30.5725,-86.21471827,0.033199773,,0,0,0,6.25,120.0,240,300,60,1.0,90,75,90,90000,0,0,2,-0.005,0.1,-0.013,0.1,-0.001,0.1,0.0003,0.02,-0.013,0.1,-0.005,0.1,3,,True,5,5.0,20.0,U,442000000.0,13.0,35.0,35000000.0,1.0,1.0,1.6
SENSOR_399,399,30.5725,-86.21471827,0.033199773,,0,0,0,6.25,120.0,240,300,60,1.0,90,75,90,14000,0,0,2,0.0,0.017,-0.002,0.018,-0.006,0.13,0.0,10.0,-0.002,0.018,0.0,0.017,2,,False,180,0.0,20.0,U,,,,,,,
SENSOR_400,400,37.90521,39.9931907,0.887784268,,100,30,15,6.25,0.0,360,0,360,0.0,90,0,90,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,True,,,,U,,,,,,,
